nconf;dreg;dtacc;dtfine;mp
194326;31/07/2012;31/07/2012;02/08/2012;MP 02/028 rev. 10
192354;27/07/2012;27/07/2012;02/08/2012;MP 02/028 rev. 10
192356;27/07/2012;27/07/2012;02/08/2012;MP 02/028 rev. 10
192357;27/07/2012;27/07/2012;02/08/2012;MP 02/028 rev. 10
192359;27/07/2012;27/07/2012;02/08/2012;MP 02/028 rev. 10
193446;30/07/2012;30/07/2012;02/08/2012;MP 02/028 rev. 10
194309;31/07/2012;31/07/2012;02/08/2012;MP 02/028 rev. 10
192341;27/07/2012;27/07/2012;02/08/2012;MP 02/028 rev. 10
192343;27/07/2012;27/07/2012;02/08/2012;MP 02/028 rev. 10
192346;27/07/2012;27/07/2012;02/08/2012;MP 02/028 rev. 10
192347;27/07/2012;27/07/2012;02/08/2012;MP 02/028 rev. 10
192350;27/07/2012;27/07/2012;02/08/2012;MP 02/028 rev. 10
192351;27/07/2012;27/07/2012;02/08/2012;MP 02/028 rev. 10
167874;24/06/2013;24/06/2013;26/06/2013;MP 02/028 rev. 10
192325;27/07/2012;27/07/2012;02/08/2012;MP 02/028 rev. 10
192329;27/07/2012;27/07/2012;02/08/2012;MP 02/028 rev. 10
192335;27/07/2012;27/07/2012;02/08/2012;MP 02/028 rev. 10
192338;27/07/2012;27/07/2012;02/08/2012;MP 02/028 rev. 10
192339;27/07/2012;27/07/2012;02/08/2012;MP 02/028 rev. 10
129556;14/05/2013;14/05/2013;17/05/2013;MP 02/028 rev. 10
131770;16/05/2013;15/05/2013;17/05/2013;MP 02/028 rev. 10
138243;22/05/2013;22/05/2013;23/05/2013;MP 02/028 rev. 10
145768;30/05/2013;30/05/2013;31/05/2013;MP 02/028 rev. 10
156548;11/06/2013;11/06/2013;13/06/2013;MP 02/028 rev. 10
157957;12/06/2013;11/06/2013;13/06/2013;MP 02/028 rev. 10
129413;14/05/2013;14/05/2013;17/05/2013;MP 02/028 rev. 10
129484;14/05/2013;14/05/2013;17/05/2013;MP 02/028 rev. 10
129488;14/05/2013;14/05/2013;17/05/2013;MP 02/028 rev. 10
129520;14/05/2013;14/05/2013;17/05/2013;MP 02/028 rev. 10
19883;23/01/2013;22/01/2013;23/01/2013;MP 02/028 rev. 10
28612;01/02/2013;01/02/2013;01/02/2013;MP 02/028 rev. 10
28646;01/02/2013;01/02/2013;01/02/2013;MP 02/028 rev. 10
40270;14/02/2013;14/02/2013;14/02/2013;MP 02/028 rev. 10
